Id;Link;Title;Genres;Director;Cast;Date;Runtime;Rating;Color;Country;keywords
1517268;https://www.imdb.com/title/tt1517268/;Barbie;Fantasy Comedy Adventure  ;Greta Gerwig;['Margot Robbie', 'Ryan Gosling', 'Issa Rae', 'Kate McKinnon', 'Alexandra Shipp', 'Emma Mackey'];July 21, 2023 (India);1 hour 54 minutes;7.3;ColorColor;NaN;patriarchy, barbie, self discovery, existential crisis, mother daughter relationship, gender roles, based on toy, doll, anthropomorphic doll, title directed by female, title co written by female, mattel, singing in a car, voice over narration, matriarchy, identity crisis, feminism, social satire, ostracism, female protagonist, female narrator, dance, self referential, fantasy world, beach, fictional country, ken character, pink, toy comes to life, reference to sylvester stallone, reference to rocky 2, reference to rocky 3, reference to rocky 4, reference to 2001 a space odyssey, f rated, one word title, blonde, barbie character, existentialism, misogyny, gay, asexual character, transgender, aesthetics, love, friendship, co written by director, utopia, live action adaptation, metafiction
1517269;https://www.imdb.com/title/tt1517269/;Chaesikjuuija;Drama  ;Woo-Seong Lim;['Min-seo Chae', 'Hyun-sung Kim', 'Kim Yeo-jin', 'Yeong-jae Kim', 'Ji-hye Yun', 'In-ho Tae'];February 18, 2010 (South Korea);1 hour 51 minutes;5.7;ColorColor;South Korea;cheating husband, female topless nudity, marriage crisis, male rear nudity, female vegetarian, videotaping sex, body painting, sex with brother in law, divorce, husband beats up wife, female rear nudity, sex with sister in law, father slaps his daughter
1517270;https://www.imdb.com/title/tt1517270/;Vizit v Kovalyovku;Drama  ;Anatoliy Bukovskiy;['Lyudmila Alfimova', 'Nina Antonova', 'Irina Berezina', 'Irina Dovganich', 'Viktor Miroshnichenko', 'Natalya Naum'];1980 (Soviet Union);NaN;NaN;NaN;Soviet Union;
1517271;https://www.imdb.com/title/tt1517271/;When Ginger Met Nina 2: Girls' Night Out; ;Kathryn Annelle;['Julia Ann', 'Lisa Ann', 'Sasha Grey', 'Nina Hartley', 'Justine Joli', 'Ginger Lynn'];2008 (United States);1 hour 48 minutes;6.8;ColorColor;United States;sex, lesbian, hardcore
1517272;https://www.imdb.com/title/tt1517272/;Teukbyeolshi saramdeul;Drama  ;Chur-woong Park;['Yûko Fueki', 'Han-jun Jo', 'San Kang', 'Kim Kap-su', 'Min-woo Seo'];October 9, 2009 (South Korea);1 hour 50 minutes;NaN;ColorColor;South Korea;building
1517273;https://www.imdb.com/title/tt1517273/;Wicked Lovely;Romance Fantasy  ;See company contact information;[];NaN;NaN;NaN;NaN;NaN;king, teenage girl, fairy, based on book
1517274;https://www.imdb.com/title/tt1517274/;Winds of Sand, Women of Rock;Documentary  ;Nathalie Borgers;['Amina Ahmed', 'Mariama Dadi', 'Hanne Issa', 'Domagali Issouf'];January 15, 2010 (Austria);1 hour 33 minutes;7.3;ColorColor;NaN;f rated
1517275;https://www.imdb.com/title/tt1517275/;Ye dian;Crime Comedy  ;Qing Yang;['Zheng Xu', 'Xiaolu Li', 'Kimi Qiao', 'Yingjun Zhao', 'Qing Yang', 'Dongfang Wang'];June 2009 (China);1 hour 34 minutes;6.3;ColorColor;China;revenge
1517276;https://www.imdb.com/title/tt1517276/;Yûbae Shôjo;Drama  ;Shinju Funabiki;['Aya Enjôji', 'Haru', 'Yuka Hôshaku', 'Reiko Igarashi', 'Yôko Ishino', 'Seiko Iwaidô'];January 2008 (Japan);1 hour 40 minutes;2.1;ColorColor;Japan;brunette, japanese woman, omnibus, professor, assistant, dream, beach, anthology film
1517277;https://www.imdb.com/title/tt1517277/;Zhizn vzaymy;Drama  ;Egor Anashkin;['Natalya Andreychenko', 'Evgeniy Antropov', 'Aleksandr Klyukvin', 'Leonid Bichevin', 'Aleksandr Ilin', 'Aleksandra Komissarova'];May 24, 2009 (Russia);1 hour 26 minutes;5.6;NaN;Russia;
1517278;https://www.imdb.com/title/tt1517278/;Échenle sal; ;Sonia Bertotti;['Elba Castellani', 'Daniela Espector', 'Estefanía Ríos', 'Carolina Silva'];September 2009 (Argentina);8 minutes;NaN;ColorColor;Argentina;
1517279;https://www.imdb.com/title/tt1517279/;Episode dated 25 September 2009;Documentary  ;September 25, 2009 (United States);[];September 25, 2009 (United States);1 hour;NaN;ColorColor;United States;
1517280;https://www.imdb.com/title/tt1517280/;Episode dated 23 September 2009; ;Itziar Bernaola;['Maria Casado', 'Francisco Caamaño'];September 23, 2009 (Spain);1 hour;NaN;NaN;NaN;
1517281;https://www.imdb.com/title/tt1517281/;McChrystal/The Liquidator/A Living for the Dead;Documentary  ;Scott Pelley;['Scott Pelley', 'David Martin', 'Stanley McChrystal', 'Morley Safer', 'Bernie Madoff', 'Irving Picard'];September 27, 2009 (United States);1 hour;NaN;NaN;NaN;
1517282;https://www.imdb.com/title/tt1517282/;Episode dated 25 September 2009; ;Christina Aguilera;['Christina Aguilera', 'Christina Applegate', 'Beyoncé', 'Billy Bush', 'Hillary Clinton', 'Michael Douglas'];September 25, 2009 (United States);30 minutes;NaN;NaN;NaN;
1517283;https://www.imdb.com/title/tt1517283/;Episode #1.1;Drama  ;Gareth Jones;['David Hargreaves', 'Geoffrey Leesley', 'Valerie Lilley', 'Peter Benson', 'Bernard Spear', 'Carol Kaye'];August 30, 1985 (United Kingdom);30 minutes;NaN;ColorColor;United Kingdom;
1517284;https://www.imdb.com/title/tt1517284/;Episode #1.10173;Mystery Romance Drama  ;Casey Childs;['David Canary', 'Melissa Claire Egan', 'Beth Ehlers', 'Ricky Paull Goldin', 'Thorsten Kaye', 'Michael E. Knight'];July 27, 2009 (United States);1 hour;NaN;ColorColor;United States;
1517285;https://www.imdb.com/title/tt1517285/;Episode #1.1;Comedy  ;Tony Wolfe;['Jimmy Cricket', 'Mike Alexander and Orchestra', 'Rory Bremner', 'The Carole Todd Dancers', 'Hi Ching', 'Jessica Martin'];June 28, 1985 (United Kingdom);1 hour;NaN;NaN;NaN;
1517286;https://www.imdb.com/title/tt1517286/;Bishop's Palace, Wells; ;May 5, 1996 (United Kingdom);[];May 5, 1996 (United Kingdom);45 minutes;NaN;ColorColor;United Kingdom;
1517287;https://www.imdb.com/title/tt1517287/;Episode #1.1;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];April 11, 2002 (Japan);NaN;NaN;NaN;NaN;
1517288;https://www.imdb.com/title/tt1517288/;Episode #1.10;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];June 13, 2002 (Japan);NaN;NaN;NaN;NaN;
1517289;https://www.imdb.com/title/tt1517289/;Episode #1.11;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];June 20, 2002 (Japan);NaN;NaN;NaN;NaN;
1517290;https://www.imdb.com/title/tt1517290/;Episode #1.12;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];June 27, 2002 (Japan);NaN;NaN;NaN;NaN;
1517291;https://www.imdb.com/title/tt1517291/;Episode #1.2;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];April 18, 2002 (Japan);NaN;NaN;NaN;NaN;
1517292;https://www.imdb.com/title/tt1517292/;Episode #1.3;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];April 25, 2002 (Japan);NaN;NaN;NaN;NaN;
1517293;https://www.imdb.com/title/tt1517293/;Episode #1.4;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];May 2, 2002 (Japan);NaN;NaN;NaN;NaN;
1517294;https://www.imdb.com/title/tt1517294/;Episode #1.5;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];May 9, 2002 (Japan);NaN;NaN;NaN;NaN;
1517295;https://www.imdb.com/title/tt1517295/;Episode #1.6;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];May 16, 2002 (Japan);NaN;NaN;NaN;NaN;
1517296;https://www.imdb.com/title/tt1517296/;Episode #1.7;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];May 23, 2002 (Japan);NaN;NaN;NaN;NaN;
1517297;https://www.imdb.com/title/tt1517297/;Episode #1.8;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];May 30, 2002 (Japan);NaN;NaN;NaN;NaN;
1517298;https://www.imdb.com/title/tt1517298/;Episode #1.9;Drama  ;Ira Ishida;['Tomoya Nagase', 'Kazuyuki Aijima', 'Taizô Harada', 'Kyoko Hasegawa', 'Hitoshi Ueki'];June 6, 2002 (Japan);NaN;NaN;NaN;NaN;
1517299;https://www.imdb.com/title/tt1517299/;Episode dated 1 February 2009; ;February 1, 2009 (United States);[];February 1, 2009 (United States);1 hour;NaN;NaN;NaN;
1517300;https://www.imdb.com/title/tt1517300/;Episode dated 4 October 2009; ;October 4, 2009 (United States);[];October 4, 2009 (United States);1 hour;NaN;NaN;NaN;
1517301;https://www.imdb.com/title/tt1517301/;Big Things in the Desert;Documentary  ;Huell Howser;['Huell Howser'];September 1998 (United States);28 minutes;NaN;ColorColor;United States;
1517302;https://www.imdb.com/title/tt1517302/;Holiday Star;Documentary  ;Huell Howser;['Huell Howser'];November 24, 2004 (United States);26 minutes;NaN;ColorColor;United States;
1517303;https://www.imdb.com/title/tt1517303/;John Muir;Documentary  ;Huell Howser;['Huell Howser', 'Lee Stetson'];May 28, 2003 (United States);27 minutes;NaN;NaN;NaN;
1517304;https://www.imdb.com/title/tt1517304/;See's Candy;Documentary  ;Huell Howser;['Huell Howser', 'Lucille Ball', 'Vivian Vance'];1998 (United States);NaN;NaN;NaN;NaN;
1517305;https://www.imdb.com/title/tt1517305/;Skimboarding;Documentary  ;Huell Howser;['Huell Howser'];June 2, 2007 (United States);NaN;NaN;NaN;NaN;
1517306;https://www.imdb.com/title/tt1517306/;Solano Train Ferry;Documentary  ;Huell Howser;['Huell Howser'];June 4, 2006 (United States);NaN;NaN;NaN;NaN;
1517307;https://www.imdb.com/title/tt1517307/;Episode #1.46;Romance Drama Adventure  ;Marcos Schechtman;['Juliana Paes', 'Marcio Garcia', 'Rodrigo Lombardi', 'Christiane Torloni', 'Débora Bloch', 'Letícia Sabatella'];March 12, 2009 (Brazil);51 minutes;NaN;NaN;NaN;
1517308;https://www.imdb.com/title/tt1517308/;Episode dated 7 July 2009;Comedy  ;Chelsea Handler;['Chelsea Handler', 'Michael Bublé', 'Mike Rock'];July 7, 2009 (United States);22 minutes;NaN;NaN;NaN;
